ImageID,Variant,phi1,phi2,phi3,phi4
img1,base,0.0,0.0,0.0,0.0
img1,rot30,0.0,0.0,0.0,0.0
img1,scale1.2,0.0,0.0,0.0,0.0
img1,mirrorH,0.0,0.0,0.0,0.0
img1,"trans10,10",0.0,0.0,0.0,0.0
img1,contrast1.3+20,2.0969100129537694,0.0,0.0,0.0
img2,base,0.0,0.0,0.0,0.0
img2,rot30,0.0,0.0,0.0,0.0
img2,scale1.2,0.0,0.0,0.0,0.0
img2,mirrorH,0.0,0.0,0.0,0.0
img2,"trans10,10",0.0,0.0,0.0,0.0
img2,contrast1.3+20,2.0969100129537694,0.0,0.0,0.0
img3,base,0.0,0.0,0.0,0.0
img3,rot30,0.0,0.0,0.0,0.0
img3,scale1.2,0.0,0.0,0.0,0.0
img3,mirrorH,0.0,0.0,0.0,0.0
img3,"trans10,10",0.0,0.0,0.0,0.0
img3,contrast1.3+20,2.0969100129537694,0.0,0.0,0.0
img4,base,0.0,0.0,0.0,0.0
img4,rot30,0.0,0.0,0.0,0.0
img4,scale1.2,0.0,0.0,0.0,0.0
img4,mirrorH,0.0,0.0,0.0,0.0
img4,"trans10,10",0.0,0.0,0.0,0.0
img4,contrast1.3+20,2.0969100129537694,0.0,0.0,0.0
