region_id,area_px,perimeter_px,eccentricity,major_axis_length,minor_axis_length,orientation_rad,bbox,centroid_yx
1,98,46.62741699796952,0.940264211664553,20.92810870863187,7.124882701479445,0.285760250523267,"[2, 488, 21, 498]","[9.346938775510203, 493.16326530612247]"
2,63,35.04163056034262,0.936868107734551,15.71285119433892,5.494515780853987,-0.672433766784591,"[20, 403, 33, 414]","[26.174603174603174, 407.25396825396825]"
3,187,73.01219330881975,0.9245178031781254,28.611350251541392,10.90489745563963,-1.0162840955811694,"[36, 394, 55, 418]","[46.01604278074866, 407.86096256684493]"
4,90,46.52691193458119,0.9341188502960942,19.42886737019471,6.935370186584393,-1.4204944082697923,"[104, 159, 113, 179]","[108.1, 168.5888888888889]"
5,62,36.2842712474619,0.8271123036114045,13.061789727308094,7.341205020916589,-0.6866339420078296,"[105, 73, 117, 84]","[110.45161290322581, 77.91935483870968]"
6,46,26.384776310850235,0.8955520078683756,11.616083244065964,5.16865584670105,-0.6232634430189389,"[105, 88, 115, 97]","[109.84782608695652, 91.93478260869566]"
7,98,49.941125496954285,0.8350477230668283,17.638700602520014,9.70441650041845,1.136589083522734,"[141, 117, 155, 133]","[146.42857142857142, 125.5204081632653]"
8,53,35.45584412271571,0.9108094293419015,14.019685816922774,5.787705711096856,1.3397536496077675,"[203, 297, 211, 310]","[206.22641509433961, 302.7169811320755]"
9,96,42.04163056034262,0.8739878846385624,16.919064733616576,8.221780773971494,1.0315657080454417,"[226, 405, 238, 420]","[231.76041666666666, 411.4375]"
10,474,132.5685424949238,0.9837945104097487,60.26420076865318,10.805349567158324,1.5103715912622173,"[239, 275, 252, 329]","[244.75105485232066, 300.26160337552744]"
11,140,53.941125496954285,0.8715551634245033,21.399893495478164,10.49231337765149,1.0262383681338763,"[257, 156, 272, 174]","[263.7785714285714, 165.25]"
12,53,26.97056274847714,0.7606325300572079,10.503620397020365,6.818768456892998,1.3235657576747832,"[289, 12, 297, 23]","[292.60377358490564, 17.150943396226417]"
13,40,31.248737341529164,0.9488737270045721,14.783251303668916,4.666420565333915,0.8547367606606268,"[295, 435, 305, 447]","[300.2, 439.8]"
14,66,35.45584412271571,0.8549003528469681,13.681126911961087,7.097662455519867,1.4705635413449367,"[316, 119, 324, 132]","[320.09090909090907, 124.8030303030303]"
15,132,53.21320343559643,0.9432619599694648,23.269010500656048,7.726463457258758,-1.5697098340127558,"[325, 349, 334, 371]","[329.1060606060606, 358.02272727272725]"
16,74,36.62741699796952,0.8257079917567258,13.891795462252661,7.836331066025318,-0.08636936341818771,"[404, 475, 419, 484]","[410.5810810810811, 478.2162162162162]"
17,103,38.04163056034261,0.7778070775883064,14.603947924642274,9.178626581726126,0.2946431832371085,"[439, 168, 454, 179]","[445.97087378640776, 172.27184466019418]"
