region_id,area_px,perimeter_px,eccentricity,major_axis_length_px,minor_axis_length_px,orientation_rad,bbox,centroid_yx
1,3398,551.747258045114,0.9696249546564634,189.62507097860413,46.381628477943906,0.0525730668236178,"[0, 110, 163, 182]","[79.82165979988228, 146.989111241907]"
2,24893,3745.5953800911147,0.9322351983424829,564.8679634451968,204.39912140859482,-0.02633797479750128,"[0, 187, 512, 512]","[298.59346000883784, 381.6439963041819]"
3,176,76.5269119345812,0.9112521779355423,28.710439503262144,11.824361247079075,0.1337175620826089,"[5, 425, 33, 438]","[20.09659090909091, 428.71590909090907]"
4,176,57.420310216782966,0.8262607598798404,20.961291794500763,11.807240145754376,-0.6780379829788986,"[12, 0, 33, 14]","[20.84659090909091, 5.965909090909091]"
5,561,204.99494936611666,0.7731607185127821,51.667800570637695,32.76824310142109,0.48613623712490617,"[27, 39, 74, 78]","[53.02495543672014, 57.696969696969695]"
6,196,74.04163056034261,0.9553562094698703,30.663095668090435,9.059609349593089,0.057923641688881394,"[30, 5, 61, 15]","[44.38775510204081, 9.729591836734693]"
7,247,105.91168824543142,0.7987213168762319,32.00456867204421,19.257185351195833,1.2510086471436248,"[43, 64, 64, 95]","[51.502024291497975, 82.11740890688259]"
8,187,80.18376618407356,0.9725765198960863,36.11801606597274,8.400441271531568,1.5229291593836922,"[70, 452, 81, 486]","[76.42780748663101, 467.90909090909093]"
9,161,62.87005768508881,0.9336521221347752,25.808951230735595,9.244279061769223,0.44279923494948525,"[79, 7, 102, 21]","[91.0, 13.254658385093167]"
10,174,72.04163056034261,0.9467065511465237,31.78502899043588,10.237873762384533,1.290038738081238,"[95, 286, 110, 312]","[103.75862068965517, 296.2528735632184]"
11,1907,315.56349186104046,0.8253254792181004,71.51109241762813,40.379259535703824,-1.4006017138303386,"[97, 431, 144, 503]","[124.71368641845831, 467.8856843209229]"
12,1866,376.53405460951757,0.9326277287499993,102.63608729458055,37.03520772568471,-1.5466625985218496,"[112, 5, 153, 104]","[128.65112540192925, 52.543944265809216]"
13,974,182.95331880577402,0.9706086066000092,74.20201069497257,17.857717537423746,-1.5647391922032923,"[115, 188, 138, 263]","[125.35318275154005, 227.6324435318275]"
14,1514,274.9360748630709,0.729380622409239,64.59311225755448,44.18867201569365,-1.4086457187515669,"[116, 269, 160, 344]","[133.8229854689564, 303.9735799207398]"
15,291,124.42640687119284,0.9439272923908747,46.817553145885064,15.456974290390635,0.0008384137303572414,"[143, 18, 186, 39]","[166.5807560137457, 28.81786941580756]"
16,714,213.48023074035524,0.8857684673058908,55.14226726024672,25.593035879925306,-0.7890751285739863,"[179, 47, 225, 89]","[201.03221288515405, 68.1624649859944]"
17,287,119.53300858899107,0.9821406095451023,57.108651573769514,10.744901823428803,1.5288264592737055,"[185, 284, 200, 329]","[193.22648083623693, 304.42160278745644]"
